symbol,DCcalc,SignalRule,Lag,StrategyNumber,PriceType,Profit Factor,TimeFrame,Net Profit,Total Trades,Sharpe Ratio,Drawdown %,Recovery Factor,Forward Net Profit,Forward Total Trades,Forward Profit Factor,Forward Sharpe Ratio,Forward Drawdown %,EnableDZ,MaxBarsInTrade,OBLevel1,OSLevel1,InpProbabilityDZ,TFBase,ForwardDuration,Backtest Months,Consistency Ratio,Calmar Ratio,Forward Calmar Ratio,Avg Profit Per Trade,Forward Avg Profit Per Trade,Forward Months,Annualized Forward Profit,Annualized Backtest Return,Profit Factor Stability,Profit per Trade,Overall Score
OILUSD,0,1,1,3,3,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.2,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,2,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.05,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,3,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.35,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,0,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.35,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,0,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.2,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,1,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.2,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,1,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.05,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,2,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.35,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,2,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.2,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,1,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.35,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,0,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.05,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,3,1.7,H4M13,10197.19,151,1.3,16.74,2.28,10296.02,145,1.76,1.52,23.52,False,0,0.8,-0.6,0.05,H4,M13,19.67,1.009691885705768,609.1511350059739,437.7559523809524,67.53105960264901,71.00703448275863,13.0,9504.018461538462,6220.95983731571,0.03529411764705886,67.53105960264901,0.24736891333076166
OILUSD,0,1,1,3,0,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.05,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,0,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.35,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,1,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.35,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,2,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.05,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,3,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.05,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,1,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.2,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,0,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.2,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,1,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.05,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,3,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.2,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,3,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.35,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,2,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.2,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
OILUSD,0,1,1,3,2,1.8,H4M13,10133.41,157,1.36,16.51,3.5,8123.26,147,1.61,1.32,23.09,False,30,0.8,-0.6,0.35,H4,M13,19.67,0.8016314350253272,613.7740763173833,351.8085751407536,64.5440127388535,55.26027210884354,13.0,7498.393846153847,6182.049822064057,0.10555555555555553,64.5440127388535,0.2888447290045286
XAUEUR,0,0,1,1,3,1.64,H4M13,3157.26,138,1.38,8.16,2.14,3795.6,107,1.88,1.71,12.74,True,30,0.6,-0.4,0.2,H4,M13,19.67,1.2021816385093402,386.91911764705884,297.9277864992151,22.878695652173914,35.472897196261684,13.0,3503.630769230769,1926.137264870361,0.14634146341463414,22.878695652173914,0.24687654571344986
