Net Profit,Forward Net Profit,Annualized Forward Profit,Profit Factor,Forward Profit Factor,Total Trades,Forward Total Trades,Sharpe Ratio,Forward Sharpe Ratio,Recovery Factor,Drawdown %,Forward Drawdown %,Consistency Ratio,Calmar Ratio,Forward Calmar Ratio,Avg Profit Per Trade,Forward Avg Profit Per Trade,Overall Score,Annualized Backtest Return,Profit Factor Stability,Profit per Trade
mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
2615.777,1940.010,1790.778,1.747,1.647,106.333,107.667,1.560,0.843,2.673,6.363,19.990,0.754,445.288,98.027,24.564,18.376,0.265,1595.797,0.114,24.564
5128.690,886.186,3544.744,1.622,1.786,171.800,33.400,1.070,1.370,2.584,17.490,10.486,0.178,303.448,85.451,29.869,26.314,0.232,3128.840,0.108,29.869
3800.899,1015.885,2269.036,1.691,1.845,182.274,52.097,1.343,1.364,2.714,10.122,9.078,0.376,394.282,107.102,20.551,18.796,0.258,2318.800,0.086,20.551
5251.402,1539.724,3843.517,1.793,1.936,164.566,54.855,1.376,1.722,2.615,14.159,11.778,0.525,372.871,130.146,30.288,31.587,0.273,3203.702,0.151,30.288
2294.788,2405.663,2220.612,1.818,1.753,153.000,113.500,1.288,1.415,2.033,6.695,12.884,1.056,383.478,192.009,14.921,20.957,0.248,1399.972,0.046,14.921
1453.020,1242.407,1146.837,1.640,1.520,140.000,115.000,1.220,0.970,3.200,3.140,5.890,0.855,462.745,210.935,10.379,10.804,0.252,886.438,0.073,10.379
3324.234,2006.708,2395.452,1.925,1.920,146.069,93.176,1.579,1.554,2.337,8.909,8.920,0.752,426.089,250.077,22.429,21.834,0.286,1998.185,0.119,22.429
1727.604,1189.934,1934.425,1.606,1.784,147.316,85.044,1.221,1.611,1.989,6.485,6.509,0.812,287.761,185.665,11.564,16.436,0.228,1053.953,0.138,11.564
4381.431,889.699,3558.795,1.941,2.192,170.941,32.529,1.366,1.552,1.944,19.420,6.603,0.201,255.368,132.327,25.616,27.853,0.264,2672.962,0.122,25.616
4095.376,681.671,629.234,1.633,1.742,169.231,30.846,0.498,0.572,2.273,8.677,8.318,0.170,484.981,82.440,24.290,22.092,0.174,630.058,0.081,24.290
3687.106,1593.429,2609.523,1.654,1.707,172.659,86.805,1.209,1.354,2.582,11.071,8.966,0.643,394.225,184.679,20.897,19.872,0.243,2197.835,0.090,20.897
2160.409,1043.169,1547.725,1.723,1.733,159.062,72.000,1.457,1.404,2.629,6.749,5.909,0.539,355.588,172.745,13.934,13.982,0.266,1317.993,0.114,13.934
2363.612,2389.329,2205.535,1.676,1.622,140.020,118.922,1.365,1.331,1.846,8.116,10.690,1.022,311.789,244.886,17.059,20.186,0.234,1441.960,0.078,17.059
2076.172,1803.122,1664.421,1.740,1.550,115.000,100.000,1.530,1.170,1.630,7.950,16.693,0.868,261.154,108.015,18.054,18.031,0.241,1266.602,0.109,18.054
1448.480,1670.510,1542.009,1.510,1.520,125.000,116.000,0.900,1.340,1.950,5.030,9.710,1.153,287.968,172.040,11.588,14.401,0.194,883.669,0.007,11.588
6575.560,5438.495,5020.149,1.598,1.605,116.615,105.846,1.192,1.164,2.080,15.085,15.382,0.802,427.571,341.097,54.797,49.025,0.220,4011.526,0.040,54.797
2151.058,2070.972,2109.170,1.714,1.860,125.467,93.067,1.289,1.552,2.075,7.989,8.271,1.124,289.125,253.946,17.236,21.855,0.243,1312.287,0.158,17.236
4802.541,1604.365,4469.718,1.654,1.812,199.957,56.145,1.422,1.981,2.545,13.305,9.828,0.478,375.412,169.860,23.538,32.782,0.267,2929.867,0.151,23.538
2069.690,2005.610,1851.332,1.560,1.860,118.000,99.000,1.100,1.370,1.250,11.080,7.760,0.969,186.795,258.455,17.540,20.259,0.192,1262.648,0.192,17.540
3138.776,2794.692,2579.716,1.670,1.640,126.000,94.000,1.300,1.270,1.650,11.250,15.760,0.890,279.002,177.328,24.911,29.731,0.223,1914.861,0.018,24.911
2366.116,2405.960,2220.886,1.634,1.686,120.155,96.918,1.222,1.291,1.787,9.098,12.144,1.027,264.926,202.311,19.656,24.823,0.219,1443.487,0.046,19.656
2578.017,2278.863,2103.565,1.655,1.677,108.500,95.250,1.622,1.180,1.302,9.285,13.797,0.884,277.672,165.860,23.794,23.925,0.231,1572.761,0.032,23.794
